seq_id,project_id,wagon_no,step_no,command,station_no,wait_sec,critical_status,total_time_sec,valid
8,3,Wagon 2,16,Wait For Sec,5,25,High,3200,TRUE
8,3,Wagon 2,17,Put On,11,25,Low,8000,TRUE
8,3,Wagon 2,18,Wait For Sec,30,20,,23200,TRUE
8,3,Wagon 2,21,Put On,12,30,,8800,TRUE
8,3,Wagon 2,22,Get From,13,35,,9600,TRUE
8,3,Wagon 2,25,Put On,14,30,,10400,TRUE
8,3,Wagon 2,29,Put On,6,30,High,4000,TRUE
8,3,Wagon 2,30,Put On,10,20,Low,7200,TRUE
8,3,Wagon 3,1,Put On,17,30,,12800,TRUE
8,3,Wagon 3,2,Wait For Int,7,25,Low,4800,TRUE
8,3,Wagon 3,5,Put On,21,30,Low,16000,TRUE
8,3,Wagon 3,8,Put On,15,45,,11200,TRUE
8,3,Wagon 3,9,Get From,14,30,,10400,TRUE
8,3,Wagon 3,11,Wait For Int,9,15,High,6400,TRUE
8,3,Wagon 3,12,Put On,16,40,,12000,TRUE
8,3,Wagon 3,13,Wait For Sec,60,12,Medium,14400,TRUE
8,3,Wagon 3,14,Get From,16,40,,12000,TRUE
8,3,Wagon 3,16,Wait For Int,6,30,High,4000,TRUE
8,3,Wagon 3,17,Put On,17,30,,12800,TRUE
8,3,Wagon 3,18,Wait For Sec,10,20,Low,7200,TRUE
8,3,Wagon 3,20,Wait For Sec,5,25,High,3200,TRUE
8,3,Wagon 3,21,Put On,18,50,,13600,TRUE
8,3,Wagon 3,22,Wait For Sec,10,20,Low,7200,TRUE
8,3,Wagon 3,24,Wait For Sec,5,25,High,3200,TRUE
8,3,Wagon 3,25,Put On,19,50,Low,14400,TRUE
8,3,Wagon 3,27,Set Int,8,12,High,5600,TRUE
8,3,Wagon 3,28,Put On,15,45,,11200,TRUE
8,3,Wagon 4,3,Put On,35,65,,27200,TRUE
